Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Paint & Stain,Paint,Trim Color,select,Dark Gray,,,each,small,,,,FALSE,
Paint & Stain,Paint,Trim Color,select,Black,,,each,small,,,,FALSE,
Paint & Stain,Stain,Stain,radio,Stain Prebuilt Mini & Gable,3,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Stain,Stain,radio,"Stain Prebuilt Estate, Sugarcreek, Cottage, & Craftsman",4.3,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Stain,Stain,radio,Stain Prebuilt Highland,4.5,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Stain,Stain,radio,None,0,,sq_ft,small,Non-vinyl,prebuilt,,,
Paint & Stain,Stain,Stain for AOS,checkbox,,,,each,"small, large",Non-vinyl,aos,,FALSE,
Paint & Stain,Stain,Stain Color,select,Natural,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Stain,Stain Color,select,Caramel,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Stain,Stain Color,select,Bronze,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Stain,Stain Color,select,Bark ,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Stain,Stain Color,select,Chestnut,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Stain,Stain Color,select,Smoke,,,each,"small, large",Non-vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,White,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Linen,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Birchwood,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Cream,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Antique White,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Sandpiper,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Sienna,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Sand   ,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Mist,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Sandalwood,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Gray,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Pewter,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Clay ,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Chateau,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Vinyl,Vinyl Color,select,Everest,,,each,"small, large",vinyl,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,truffle,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,lemon grass,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,belmont blue,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,steel blue,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,pinnacle red,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,mountain red,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,woodland green,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,wild grasses,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,pequea green,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,hunter green,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,barn white,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,zook gray,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,dark gray,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,black,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,navajo white,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,almond,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,buckskin,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,clay,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,shale,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,brown,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,non stock paint,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,natural,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,caramel,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,bronze,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,bark ,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,chestnut,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Color Option,select,smoke,,,each,"small, large",,,,FALSE,
Paint & Stain,Wood Door Color Option,Wood Door Custom Color Option,text,,,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,White,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Linen,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Jamocha,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Almond,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Sand,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Terra Clay,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Sable,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Golden Prairie,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Midnight Blue,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Concord Blue,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Charcoal,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Tuxedo Gray,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Evergreen,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Rustic Red,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Deep Ruby,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Cordavan,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Royal Brown,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Color Option,select,Black,160,,each,"small, large",,,,FALSE,
Paint & Stain,Steel Door Color Option,Steel Door Custom Color Option,text,,,,each,"small, large",,,,FALSE,
Paint & Stain,Overhead Door Add-Ons,OHD Color Option,select,White,,,each,"small, large",,,,FALSE,
Paint & Stain,Overhead Door Add-Ons,OHD Color Option,select,Almond,,,each,"small, large",,,,FALSE,
Paint & Stain,Overhead Door Add-Ons,OHD Color Option,select,Sandstone,,,each,"small, large",,,,FALSE,
Paint & Stain,Overhead Door Add-Ons,OHD Color Option,select,Brown,,,each,"small, large",,,,FALSE,
Paint & Stain,Overhead Door Add-Ons,OHD Custom Color Option,text,,,,each,"small, large",,,,FALSE,
Paint & Stain,Custom,Custom Field,text,,,,each,"small, large",,,,,
Foundation,Foundation,"Site Prep w/Patio Blocks up to 8"" high",checkbox,,2,,sq_ft,small,,,,,
Foundation,Foundation,Post Perimeter Foundation,checkbox,,,23,ln_ft,large,,,,,
Foundation,Foundation,Drop Slope Height,select_price,1 – 3 feet,,,each,"small, large",,,,FALSE,
Foundation,Foundation,Drop Slope Height,select_price,3 – 6 feet,,,each,"small, large",,,,FALSE,
Foundation,Foundation,Drop Slope Height,select_price,6 – 9 feet,,,each,"small, large",,,,FALSE,
Foundation,Custom,Custom Field,text,,,,each,"small, large",,,,,
Misc Options,Misc,Cedar Railing,check_length,,23,23,ln_ft,large,,,,,
Misc Options,Misc,Vinyl Railing,check_length,,46,50,ln_ft,large,,,,,
Misc Options,Misc,House Wrap,checkbox,,,3.25,ln_ft,large,,,,,
Misc Options,Misc,"Door Awning for Man Door (56"")",numeric,,,400,each,large,,,,,
Misc Options,Misc,Door Awning for Man Door (22'),numeric,,,1090,each,large,,,,,
Misc Options,Custom,Custom Field,text,,,,each,"small, large",,,,,
