"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Timber Ridge",12,24,"Solid Cedar",288,6,10,8,"$2,074 ","$2,074 ","$2,074 ","$2,074 ","$2,074 ","N/A","$12,222 ","N/A","$12,701 ","N/A","$13,058 ","N/A","$13,222 ","N/A","$13,386 ","N/A","$13,549 ","N/A","$13,713 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,16,"Solid Pine",224,4,10,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$7,008 ","N/A","$7,298 ","N/A","$7,518 ","N/A","$7,627 ","N/A","$7,736 ","N/A","$7,845 ","N/A","$7,954 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,16,"Solid Cedar",224,4,10,8,"$2,114 ","$2,114 ","$2,114 ","$2,114 ","$2,114 ","N/A","$10,512 ","N/A","$10,947 ","N/A","$11,277 ","N/A","$11,441 ","N/A","$11,604 ","N/A","$11,768 ","N/A","$11,931 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,20,"Solid Pine",280,6,10,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$8,032 ","N/A","$8,379 ","N/A","$8,646 ","N/A","$8,786 ","N/A","$8,926 ","N/A","$9,066 ","N/A","$9,206 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,20,"Solid Cedar",280,6,10,8,"$2,121 ","$2,121 ","$2,121 ","$2,121 ","$2,121 ","N/A","$12,048 ","N/A","$12,568 ","N/A","$12,970 ","N/A","$13,179 ","N/A","$13,389 ","N/A","$13,599 ","N/A","$13,809 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,24,"Solid Pine",336,6,10,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$8,982 ","N/A","$9,353 ","N/A","$9,635 ","N/A","$9,775 ","N/A","$9,915 ","N/A","$10,055 ","N/A","$10,195 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,24,"Solid Cedar",336,6,10,8,"$1,946 ","$1,946 ","$1,946 ","$1,946 ","$1,946 ","N/A","$13,472 ","N/A","$14,030 ","N/A","$14,453 ","N/A","$14,663 ","N/A","$14,873 ","N/A","$15,083 ","N/A","$15,292 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",14,28,"Solid Pine",392,6,10,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$10,465 ","N/A","$10,876 ","N/A","$11,181 ","N/A","$11,321 ","N/A","$11,461 ","N/A","$11,601 ","N/A","$11,741 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",14,28,"Solid Cedar",392,6,10,8,"$2,047 ","$2,047 ","$2,047 ","$2,047 ","$2,047 ","N/A","$15,698 ","N/A","$16,314 ","N/A","$16,772 ","N/A","$16,982 ","N/A","$17,191 ","N/A","$17,401 ","N/A","$17,611 ","$3,150 ","$3,220 ","$3,290 ","$3,361 ","$3,431 ","$3,501 ","$3,571 "
"Timber Ridge",14,32,"Solid Pine",448,6,10,8,"$2,340 ","$2,340 ","$2,340 ","$2,340 ","$2,340 ","N/A","$11,869 ","N/A","$12,316 ","N/A","$12,644 ","N/A","$12,783 ","N/A","$12,923 ","N/A","$13,063 ","N/A","$13,203 ","$3,920 ","$3,990 ","$4,060 ","$4,131 ","$4,201 ","$4,271 ","$4,341 "
